route_id,2-Laredo,3-Perry,6-Hamilton
ASC A Line,18.14,10.5,17.52
1,27.88,8.61,27.39
102,10.49,17.9,20.96
103,17.95,33.99,35.74
104,15.52,30.29,33.31
107,9.22,31.71,23.77
110,18.71,23.76,34.52
111,22.31,33.22,25.28
114,16.12,27.13,16.78
115,22.22,34.28,26.33
116,25.46,36.37,28.42
117,18.75,29.67,21.72
119,6.61,27.68,22.98
12,25.17,15.5,29.34
120,11.92,34.67,28.35
121,11.67,33.69,29.5
123,6.14,26.7,27.19
124,12.1,34.21,29.89
125,9.78,27.63,27.56
126,8.69,29.58,26.48
132,20.11,34.74,37.9
133,9.15,29.41,26.94
14,27.88,8.61,27.39
140,23.51,29.32,41.23
141,35.38,41.16,53.07
142,22.97,39.01,40.76
143,35.38,41.16,53.07
148,19.94,27.34,37.73
15,24.02,36.03,24.14
150,20.28,28.7,38.08
153,26.66,12.61,22.45
155,25.73,20.07,9.12
162,28.38,19.39,15.26
165,33.26,18.44,23.06
172,32.12,24.37,13.66
178,25.04,21.73,4.19
180,45.95,40.64,31.47
181,39.65,34.34,25.17
183,32.32,18.62,18.02
185,23.51,29.32,41.23
186,14.72,28.02,19.24
189,34.33,29.01,19.85
19,5.08,22.65,26.14
191,40.35,39.37,23.08
192,40.35,39.37,23.08
193,40.35,39.37,23.08
194,34.11,34.12,17.84
195,24.13,33.39,16.1
196,32.55,31.29,15.01
2,7.6,21.02,24.72
201,26.63,12.58,22.42
21,18.63,11.44,15.97
221,11.92,34.67,28.35
24,10.49,17.9,20.96
25,15.52,30.29,33.31
26,31,7.58,28.05
27,19.69,11.46,22.39
295,25.38,16.39,12.03
3,26.66,12.61,22.45
30,9.15,29.41,26.94
32,28.38,37.63,20.35
34,16.12,27.13,16.78
36,18.23,10.71,20.93
37,27.88,8.61,27.39
39,15.52,30.29,33.31
4,13.43,16.48,18.46
40,20.97,12.1,15.05
42,25.38,16.39,12.03
47,18.71,23.76,34.52
49,20.35,25.5,12.52
5,20.28,28.7,38.08
50,16.58,10.43,18.98
51,26.66,12.61,22.45
55,25.91,30.8,11.1
58,30.81,7.39,28.22
6,13.43,16.48,18.46
60,27.88,8.61,27.39
66,32.74,21.53,18.4
68,21.55,8.18,17.58
71,33.99,19.18,24.04
73,35.03,21.01,29.08
74,13.42,23.82,16.83
75,2.82,24.66,26.53
78,23.66,22.3,5.72
79,29.76,21.14,12.08
8,3.18,23.57,25.83
800,40.35,39.37,23.08
809,16.01,14.05,16.08
81,29.76,21.14,12.08
813,23.2,9.44,19
816,18.51,11.57,15.85
82,37.18,31.1,22.92
823,8.91,24.38,23.79
825,21.13,27.91,38.92
83,32.32,18.62,18.02
832,17.25,20.28,12.47
84,34.07,22.85,19.73
85,23.51,29.32,41.23
850,35.55,16.26,31.34
853,23.2,9.44,19
856,30.38,16.08,25.53
86,22.31,33.22,25.28
865,32.76,18.46,27.5
867,26.66,12.61,22.45
87,20.28,28.7,38.08
89,33.57,32.31,16.03
899,17.37,12.84,14.68
9,13.1,23.5,16.51
93,36.13,22.43,19.69
94,20.97,12.1,15.05
95,26.79,24.22,5.56
BLUE,25.8,11.28,21.58
GOLD,32.68,28.24,16.04
GREEN,10.46,17.44,20.5
RED,23.77,29.59,41.5
Summerhill BRT,18.07,8.82,19.12
Cambellton BRT,22.99,14.01,13.34
Clayton BRT,28.91,25.05,13.1
